 ,,,Frame,XM,YM
,,,1,568.518,616.778
,,,2,562.947,616.275
,,,3,557.158,610.606
,,,4,548.597,606.502
,,,5,543.148,601.608
,,,6,536.713,596.673
,,,7,525.147,595.023
,,,8,514.135,593.026
,,,9,505.552,589.846
,,,10,493.932,591.374
,,,11,478.941,583.469
,,,12,465.624,582.013
,,,13,453.658,582.878
,,,14,442.921,579.162
,,,15,429.306,570.74
,,,16,416.378,563.77
,,,17,402.429,558.447
,,,18,395.856,550.587
,,,19,387.876,543.562
,,,20,383.44,537.844
,,,21,369.938,532.681
,,,22,360.786,529.45
,,,23,358.741,525.382
